Page,Page Type,Primary Keywords,Recommended Page Title,Recommended Meta Description,Robots,Notes
"/","home","Dentist near me; Painless Dentist / Minimal pain dental clinic","Dantam Dental Care | Smile for lifetime","Modern dental care in Thane for implants, single-sitting root canals, aligners, braces and paediatric dentistry.","index,follow","Seeded in Directus dantam_seo_pages."
"/about","static","Painless Dentist / Minimal pain dental clinic","Minimal-Pain Dental Clinic in Thane | Dantam Dental Care","Dantam Dental Care focuses on calm, patient-first dentistry with modern technology, clear guidance and comfort-led treatment planning.","index,follow","Avoid absolute painless claims."
"/dentists","dentists","Dr Krushnakumar Modi; Dr. Modi dentist","Our Dentists in Thane | Dr. Krushnakumar Modi & Team","Meet Dr. Krushnakumar Modi, Dr. Blanch Gonsalves Modi and the visiting dental specialists at Dantam Dental Care in Thane.","index,follow","Use a future individual doctor page for stronger doctor-name targeting."
"/locations","location","Dentist near me","Dental Clinic Locations in Thane & Nalasopara | Dantam","Find Dantam Dental Care clinics in Majiwada, Shreenagar and Nalasopara. View addresses, timings, phone numbers and directions.","index,follow","Location hub page."
"/locations/majiwada","location","Dentist near me; dentist in Majiwada","Dantam Dental Care Majiwada | Dentist in Thane West","Visit Dantam Dental Care in Majiwada, Thane West. View clinic address, timings, phone number, map directions and available dental services.","index,follow","Branch page."
"/locations/shreenagar","location","Dr. Modi dentist; Dentist near me","Modi Dental Clinic Shreenagar | Dentist in Thane","Visit Modi Dental Clinic in Shreenagar, Wagle Estate, managed by Dr. Krushnakumar Modi. View address, timings, phone and directions.","index,follow","Branch page."
"/locations/nalasopara","location","Dentist near me","Gonsalves Dental Care Nalasopara | Dental Clinic","Visit Gonsalves Dental Care in Nalasopara West, managed by Dr. Blanch Gonsalves Modi. View address, timings, phone and directions.","index,follow","Branch page."
"/services","service","Dentist near me","Dental Services in Thane | Dantam Dental Care","Explore tooth extraction, root canal treatments, braces, aligners, implants, intraoral scanning, smile designing, child dental care and dentures.","index,follow","Service hub page."
"/services/child-dental-care","service","Pedodontics near me; Child Dentist near me","Child Dentist & Pedodontics in Thane | Dantam","Gentle child dental care and pedodontic consultations at Dantam Dental Care for kids, preventive dentistry and comfortable visits.","index,follow","Targets both child dentist and pedodontics."
"/services/aligners","service","Aligners Specialist near me","Aligners Specialist in Thane | Dantam Dental Care","Explore clear aligners at Dantam Dental Care with digital scanning, treatment planning and consultation support at our clinic locations.","index,follow","Confirm if Invisalign should be added later."
"/services/braces","service","Braces Specialist near me","Braces Specialist in Thane | Dantam Dental Care","Get braces consultation at Dantam Dental Care for teeth alignment and bite correction, with metal and ceramic options where suitable.","index,follow","Service page."
"/services/implants","service","Dental Implant clinic near me","Dental Implant Clinic in Thane | Dantam Dental Care","Learn about dental implants at Dantam Dental Care, including digital planning, implant placement and tooth replacement consultation.","index,follow","Supports Dr. Modi internally."
"/services/tooth-extraction","service","Wisdom teeth removal","Wisdom Teeth Removal in Thane | Dantam Dental Care","Get wisdom tooth and tooth extraction consultation at Dantam Dental Care with digital assessment, local anaesthesia and recovery guidance.","index,follow","Public page remains Tooth Extraction."
"/services/root-canal-treatments","service","Single sitting Root canal treatment","Single-Sitting Root Canal Treatment in Thane | Dantam","Modern root canal treatments at Dantam Dental Care, including single-sitting RCT where suitable, with diagnosis and restoration guidance.","index,follow","Uses Dantam to stay concise."
"/services/intraoral-scanner","service","Dental 3d Scanner","Dental 3D Scanner in Thane | Dantam Dental Care","Experience digital dental scanning at Dantam Dental Care for aligners, crowns, implants and treatment planning without messy impressions.","index,follow","Public page remains Intraoral Scanner."
"/services/smile-designing","service","smile designing; cosmetic dentistry","Smile Designing in Thane | Dantam Dental Care","Plan a natural smile makeover at Dantam Dental Care with cosmetic dentistry, digital planning and personalised treatment guidance.","index,follow","Service page."
"/services/full-mouth-rehabilitation","service","full mouth rehabilitation","Full Mouth Rehabilitation in Thane | Dantam Dental Care","Explore full mouth rehabilitation and advanced dental care at Dantam Dental Care with personalised planning for function and aesthetics.","index,follow","Service page."
"/services/teeth-whitening","service","teeth whitening","Teeth Whitening in Thane | Dantam Dental Care","Brighten your smile with professional teeth whitening consultation at Dantam Dental Care, planned for safe and natural-looking results.","index,follow","Service page."
"/services/dentures","service","dentures","Dentures in Thane | Dantam Dental Care","Replace missing teeth with comfortable dentures at Dantam Dental Care, including consultation for complete, partial and implant-supported options.","index,follow","Service page."
"/gallery","static","dental clinic gallery","Dental Clinic Gallery in Thane | Dantam Dental Care","See Dantam Dental Care clinic interiors, dental technology and patient care spaces in Thane before planning your visit.","index,follow","Static page."
"/testimonials","static","Dantam Dental Care testimonials","Patient Testimonials | Dantam Dental Care Thane","Read patient stories from Dantam Dental Care covering implants, root canals, aligners, kids dentistry and more.","index,follow","No review schema planned."
"/contact","static","dentist appointment","Contact Dantam Dental Care | Book a Dentist Appointment","Call, WhatsApp or send an appointment request to Dantam Dental Care. Choose the clinic closest to you in Thane or Nalasopara.","index,follow","Contact page."
"/patient-instructions","static","dental patient instructions","Patient Instructions | Dantam Dental Care","Read post-treatment dental instructions from Dantam Dental Care, including guidance after extraction, surgery, root canal and general care.","index,follow","Patient resource."
"/review-us","static","Dantam Dental Care review","Review Dantam Dental Care | Share Your Experience","Share your experience with Dantam Dental Care and prepare a Google review draft in your own words.","noindex,follow","Review helper is noindex in Directus."
